ID del envio,Registre su tipo de empresa organizacion ciudadano,Provincia,Genero,CIIU,Tiene conocimientos de computacion y navegacion en internet,Conoce las oportunidades que el IOT (Internet de las cosas) puede aportar en su trabajo y empresa,Conoce las oportunidades que el IA (Inteligencia artificial) puede aportar en su trabajo y empresa,Conoce como utilizar herramientas de busqueda avanzada en Internet para mejorar los resultados en funcion de sus necesidades,Identifica parametros que deben cumplir las paginas web y la informacion online para considerar su confiabilidad y calidad,Clasifica la informacion mediante archivos y carpetas para facilitar su localizacion posterior,Conoce o ha utilizado servicios de alojamiento de archivos en la nube,Ha participado en consultas ciudadanas o encuestas a traves de internet (online) a propuestas de organizaciones publicas o sociales,"Usted sabe como generar un perfil publico, personal o profesional en las Redes Sociales, controlando los detalles de la imagen que quiere transmitir","Es capaz de utilizar los diferentes medios digitales para exponer de manera creativa esquemas graficos, mapas conceptuales, infografias","Sabe editar y modificar con herramientas digitales, el formato de diferentes tipos de archivo textos, fotografias, videos",Conoce los fundamentos de los procesos digitales y de la creacion de software. Entiendo los principios de la programacion,"Conoce y actua con prudencia cuando recibe mensajes cuyo remitente, contenido o archivo adjunto sea desconocido (SPAM)","Se interesa en conocer las politicas de privacidad de las plataformas que utiliza en Internet, asi como el tratamiento que hacen de sus datos personales","Se mantiene informado y actualizado sobre habitos saludables y seguros en el uso de la tecnologia, y los fomenta y los difunde","Es capaz de evaluar y elegir de manera adecuada un dispositivo, software, aplicacion o servicio para realizar sus tareas",Participa en experiencias innovadoras relacionadas con el uso de nuevas tecnologias,Conoce su nivel de competencia digital e identifica claramente sus carencias con respecto a los requisitos de su entorno laboral,Edad,Puntuacion
19058,Gobierno,nan,nan,nan,nan,nan,nan,Si,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,nan,91
19061,Ciudadano,nan,nan,Informacion y comunicacion.,Si,Si,Si,Si,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,nan,119
19062,Microempresarios,nan,nan,Otras actividades de servicios.,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,nan,72
19063,Gobierno,nan,nan,nan,nan,nan,nan,Si,Si,Si,Si,No,No,Si,Si,No,Si,Si,Si,Si,No,Si,nan,90
19064,Microempresarios,nan,nan,Informacion y comunicacion.,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,nan,110
19075,Microempresarios,nan,nan,Otras actividades de servicios.,Si,No,No,No,Si,Si,Si,Si,Si,No,Si,No,Si,Si,Si,No,Si,No,nan,120
19077,Gobierno,nan,nan,nan,nan,nan,nan,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,nan,88
19079,Ciudadano,nan,nan,"Artes, entretenimiento y recreacion.",Si,Si,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,nan,148
19081,Ciudadano,nan,nan,Informacion y comunicacion.,Si,No,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,No,No,Si,Si,Si,nan,79
19100,Microempresarios,nan,nan,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,Si,Si,Si,No,No,No,No,No,Si,Si,No,Si,Si,nan,110
19116,Ciudadano,nan,nan,"Agricultura, ganaderia y pesca.",Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,nan,90
19118,Ciudadano,nan,nan,nan,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,nan,101
19131,Ciudadano,nan,nan,nan,Si,No,No,No,No,No,No,No,No,Si,No,No,No,Si,Si,No,No,No,nan,56
19132,Ciudadano,nan,nan,Otras actividades de servicios.,Si,No,No,No,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,nan,88
19135,Microempresarios,nan,nan,Otras actividades de servicios.,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,nan,145
19139,Ciudadano,nan,nan,nan,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,nan,45
19144,Ciudadano,nan,nan,Ensenanza.,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,nan,53
19145,Ciudadano,nan,nan,"Agricultura, ganaderia y pesca.",Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,nan,116
19156,Gobierno,nan,nan,nan,nan,nan,nan,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,nan,90
19158,Microempresarios,nan,nan,Otras actividades de servicios.,Si,Si,Si,Si,No,Si,Si,No,No,Si,Si,Si,No,No,Si,No,No,Si,nan,124
19164,Microempresarios,nan,nan,nan,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,nan,100
19166,Ciudadano,nan,nan,Otras actividades de servicios.,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,Si,No,Si,Si,Si,No,Si,Si,nan,106
19169,Ciudadano,nan,nan,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,nan,46
19182,Ciudadano,nan,nan,nan,Si,No,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,nan,93
19186,Ciudadano,nan,nan,nan,Si,Si,Si,No,No,No,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,nan,71
19187,Ciudadano,nan,nan,"Agricultura, ganaderia y pesca.",Si,No,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,nan,121
19194,Ciudadano,nan,nan,nan,Si,Si,Si,No,No,No,Si,No,No,Si,Si,Si,Si,No,Si,Si,Si,No,nan,64
19195,Ciudadano,nan,nan,Informacion y comunicacion.,Si,No,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,nan,107
19197,Ciudadano,nan,nan,Ensenanza.,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,nan,55
19199,Pyme,nan,nan,Industrias manufactureras.,Si,No,No,No,Si,Si,Si,No,Si,No,No,No,Si,Si,Si,Si,No,Si,nan,91
19203,Ciudadano,nan,nan,nan,Si,No,No,No,No,No,No,Si,No,No,Si,No,No,No,No,Si,Si,Si,nan,56
19204,Ciudadano,nan,nan,Ensenanza.,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,nan,52
19205,Ciudadano,nan,nan,nan,Si,No,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,No,Si,nan,69
19207,Microempresarios,nan,nan,Otras actividades de servicios.,Si,No,No,Si,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,nan,52
19208,Ciudadano,nan,nan,nan,Si,No,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,nan,129
19210,Ciudadano,nan,nan,nan,Si,Si,No,Si,Si,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,No,nan,111
19211,Ciudadano,nan,nan,"Agricultura, ganaderia y pesca.",Si,No,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,nan,122
19212,Ciudadano,nan,nan,Ensenanza.,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,nan,129
19214,Ciudadano,nan,nan,Otras actividades de servicios.,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,nan,88
19220,Ciudadano,nan,nan,nan,Si,No,No,No,No,No,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,nan,109
19221,Ciudadano,nan,nan,nan,Si,No,No,No,No,No,No,No,Si,Si,No,No,Si,Si,No,No,Si,Si,nan,112
19233,Microempresarios,nan,nan,Otras actividades de servicios.,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,nan,131
19237,Ciudadano,nan,nan,nan,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,nan,46
19239,Ciudadano,nan,nan,nan,Si,No,No,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,nan,129
19243,Microempresarios,nan,nan,nan,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,nan,92
19245,Ciudadano,nan,nan,Informacion y comunicacion.,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,nan,89
19248,Ciudadano,nan,nan,Ensenanza.,Si,Si,Si,No,No,No,No,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,nan,116
19253,Microempresarios,nan,nan,Otras actividades de servicios.,Si,No,No,Si,No,Si,Si,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,No,nan,124
19254,Ciudadano,nan,nan,Ensenanza.,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,nan,94
19257,Ciudadano,nan,nan,Ensenanza.,Si,Si,No,No,No,Si,Si,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,nan,107
19258,Ciudadano,nan,nan,Otras actividades de servicios.,Si,Si,No,No,No,No,No,Si,No,Si,Si,No,No,No,No,No,No,No,nan,87
19263,Ciudadano,nan,nan,Ensenanza.,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,nan,57
19279,Ciudadano,nan,nan,"Agricultura, ganaderia y pesca.",Si,Si,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,nan,101
19288,Ciudadano,nan,nan,"Agricultura, ganaderia y pesca.",Si,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,nan,111
19298,Artesanos,nan,nan,Construccion.,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,nan,83
19309,Ciudadano,nan,nan,nan,Si,Si,Si,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,No,No,Si,nan,106
19322,Ciudadano,nan,nan,Ensenanza.,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,nan,58
20171,Ciudadano,nan,nan,nan,Si,Si,No,No,No,No,No,Si,Si,Si,Si,No,Si,No,Si,Si,No,Si,nan,65
20199,Ciudadano,nan,nan,Informacion y comunicacion.,Si,No,No,No,No,No,No,Si,Si,Si,Si,Si,Si,Si,No,Si,Si,Si,nan,92
20205,Artesanos,Guayas,Masculino,"Artes, entretenimiento y recreacion.",Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,30.0,95
20206,Microempresarios,Guayas,Masculino,"Agricultura, ganaderia y pesca.",Si,Si,Si,Si,Si,No,Si,Si,Si,Si,No,Si,No,No,No,Si,Si,Si,32.0,116
20207,Ciudadano,Santo Domingo de los Tsachilas,Femenino,Ensenanza.,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,24.0,48
20208,Artesanos,Guayas,Masculino,"Artes, entretenimiento y recreacion.",Si,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,29.0,85
20209,Ciudadano,Guayas,Femenino,Otras actividades de servicios.,Si,No,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,26.0,167
20210,Microempresarios,Manabi,Femenino,Otras actividades de servicios.,Si,Si,No,No,No,No,No,No,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,29.0,81
20211,Microempresarios,Los Rios,Femenino,Otras actividades de servicios.,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,30.0,48
20212,Microempresarios,Manabi,Masculino,nan,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,No,No,No,Si,No,Si,No,Si,25.0,117
20213,Ciudadano,Carchi,Masculino,"Agricultura, ganaderia y pesca.",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,49.0,56
20214,Microempresarios,Manabi,Femenino,"Artes, entretenimiento y recreacion.",Si,No,No,Si,No,Si,Si,Si,No,No,Si,No,Si,Si,Si,Si,Si,Si,24.0,132
20215,Ciudadano,Guayas,Masculino,"Artes, entretenimiento y recreacion.",Si,Si,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,24.0,153
20216,Microempresarios,Guayas,Femenino,Otras actividades de servicios.,Si,Si,Si,Si,Si,Si,Si,Si,No,Si,No,Si,Si,Si,Si,Si,Si,Si,40.0,138
20217,Ciudadano,Carchi,Masculino,"Agricultura, ganaderia y pesca.",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,25.0,87
20218,Ciudadano,Manabi,Femenino,Otras actividades de servicios.,Si,Si,Si,No,No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,25.0,105
20219,Microempresarios,Guayas,Femenino,Transporte y almacenamiento.,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,59.0,157
20220,Microempresarios,Pichincha,Masculino,"Artes, entretenimiento y recreacion.",Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,24.0,76
20221,Ciudadano,Guayas,Femenino,Otras actividades de servicios.,Si,Si,No,Si,Si,Si,Si,No,Si,Si,Si,No,No,Si,Si,Si,Si,Si,36.0,122
20222,Microempresarios,Pichincha,Masculino,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,No,No,No,Si,No,Si,No,No,No,No,No,No,No,58.0,53
20223,Microempresarios,Carchi,Masculino,"Agricultura, ganaderia y pesca.",Si,Si,No,Si,Si,Si,No,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,37.0,78
20224,Ciudadano,Guayas,Femenino,Comercio al por mayor y al por menor; reparacion de vehiculos automotores y motocicletas.,Si,Si,Si,Si,Si,No,Si,No,Si,No,Si,No,Si,Si,No,No,No,Si,23.0,167
20225,Microempresarios,Pichincha,Femenino,Actividades de atencion de la salud humana y de asistencia social.,Si,Si,Si,Si,No,Si,Si,No,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,24.0,137
20226,Ciudadano,Pichincha,Masculino,Ensenanza.,Si,No,No,Si,Si,Si,Si,Si,Si,Si,Si,No,Si,No,Si,Si,Si,Si,37.0,70
20227,Microempresarios,Pichincha,Masculino,Actividades de alojamiento y de servicio de comida.,Si,Si,No,Si,Si,Si,Si,No,No,No,Si,Si,Si,No,No,No,No,No,31.0,116
20228,Ciudadano,Carchi,Masculino,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,Si,Si,No,37.0,53
20229,Microempresarios,El Oro,Masculino,nan,Si,No,No,No,Si,No,No,No,No,No,No,No,Si,Si,Si,No,No,No,64.0,114
20230,Artesanos,Guayas,Masculino,Otras actividades de servicios.,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,30.0,100
20232,Ciudadano,Guayas,Masculino,Actividades de atencion de la salud humana y de asistencia social.,Si,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,20.0,91
20233,Artesanos,Guayas,Femenino,Otras actividades de servicios.,Si,Si,No,No,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,Si,No,Si,No,26.0,122
20238,Ciudadano,Carchi,Femenino,Industrias manufactureras.,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,54.0,60
20241,Microempresarios,Guayas,Femenino,"Agricultura, ganaderia y pesca.",Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,35.0,122
20243,Ciudadano,Manabi,Femenino,nan,Si,No,No,No,No,No,No,Si,Si,Si,Si,No,No,No,Si,No,No,No,21.0,93
20247,Pyme,Pichincha,Femenino,Otras actividades de servicios.,Si,No,No,Si,Si,Si,Si,No,Si,Si,Si,No,Si,Si,Si,Si,No,Si,28.0,106
20248,Microempresarios,Chimborazo,Femenino,Actividades de organizaciones y organos extraterritoriales.,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,34.0,55
20250,Ciudadano,Guayas,Femenino,nan,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,27.0,83
20252,Microempresarios,El Oro,Femenino,nan,Si,No,No,No,No,No,No,No,No,No,No,No,Si,Si,No,Si,No,Si,53.0,101
20253,Microempresarios,Pichincha,Masculino,Comercio al por mayor y al por menor; reparacion de vehiculos automotores y motocicletas.,Si,Si,Si,No,No,Si,Si,No,Si,Si,Si,No,Si,No,No,Si,No,No,34.0,93
20255,Microempresarios,Loja,Femenino,Informacion y comunicacion.,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,29.0,154
20256,Microempresarios,Guayas,Femenino,"Agricultura, ganaderia y pesca.",Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,20.0,153
20257,Ciudadano,Loja,Femenino,"Agricultura, ganaderia y pesca.",Si,No,No,Si,No,Si,Si,Si,Si,Si,Si,Si,Si,No,Si,No,Si,Si,21.0,134
20258,Artesanos,Guayas,Masculino,"Artes, entretenimiento y recreacion.",Si,Si,No,No,No,No,No,No,No,No,Si,No,No,Si,Si,No,Si,Si,51.0,74
20259,Artesanos,Pichincha,Masculino,Otras actividades de servicios.,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,23.0,77
20260,Ciudadano,Loja,Femenino,Otras actividades de servicios.,Si,Si,No,Si,Si,No,Si,No,Si,No,Si,No,Si,Si,Si,No,No,Si,28.0,122
20261,Microempresarios,Loja,Masculino,Otras actividades de servicios.,Si,No,No,No,No,No,No,No,No,Si,No,No,No,Si,No,No,No,No,43.0,80
20262,Artesanos,Guayas,Femenino,nan,Si,No,No,No,Si,Si,Si,No,Si,No,Si,Si,Si,Si,Si,Si,No,Si,30.0,99
20263,Artesanos,Chimborazo,Masculino,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,38.0,108
20266,Pyme,Pichincha,Masculino,Ensenanza.,Si,No,No,No,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,33.0,123
20270,Ciudadano,Guayas,Femenino,nan,Si,No,No,Si,Si,No,Si,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,26.0,105
20271,Ciudadano,Guayas,Femenino,Otras actividades de servicios.,Si,Si,No,Si,No,No,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,33.0,98
20272,Ciudadano,Cotopaxi,Masculino,Otras actividades de servicios.,Si,Si,No,No,No,No,Si,Si,Si,Si,Si,No,Si,Si,Si,Si,No,No,28.0,102
20273,Ciudadano,El Oro,Masculino,Actividades de alojamiento y de servicio de comida.,No,No,No,No,No,No,No,Si,No,No,No,No,Si,No,Si,No,No,Si,60.0,51
20274,Ciudadano,Cotopaxi,Masculino,nan,Si,No,No,No,No,No,No,Si,Si,Si,Si,No,Si,Si,No,Si,No,No,36.0,69
20276,Ciudadano,Esmeraldas,Masculino,Informacion y comunicacion.,Si,No,No,No,No,Si,Si,Si,Si,Si,No,No,Si,Si,Si,Si,Si,Si,35.0,128
20277,Ciudadano,Guayas,Femenino,Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio.,Si,Si,No,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,No,59.0,83
20286,Microempresarios,Cotopaxi,Masculino,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,Si,Si,Si,No,Si,No,No,No,No,No,No,Si,Si,52.0,111
20287,Microempresarios,Guayas,Masculino,"Agricultura, ganaderia y pesca.",Si,No,No,Si,No,Si,No,Si,No,Si,No,No,Si,No,Si,No,Si,No,21.0,101
20288,Artesanos,Pichincha,Masculino,Otras actividades de servicios.,Si,No,No,Si,Si,Si,Si,No,No,No,Si,No,Si,No,Si,Si,Si,Si,37.0,102
20289,Microempresarios,El Oro,Femenino,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,22.0,46
20290,Artesanos,Guayas,Masculino,"Artes, entretenimiento y recreacion.",Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,55.0,45
20295,Ciudadano,Carchi,Masculino,"Agricultura, ganaderia y pesca.",Si,Si,Si,No,No,Si,Si,Si,Si,Si,Si,No,Si,Si,Si,Si,No,Si,33.0,87
20296,Pyme,Tungurahua,Femenino,nan,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,47.0,84
20298,Microempresarios,El Oro,Femenino,Actividades de alojamiento y de servicio de comida.,Si,No,No,No,No,Si,Si,Si,No,No,No,No,Si,No,No,Si,No,No,36.0,57
20299,Artesanos,Tungurahua,Femenino,nan,Si,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,35.0,53
20300,Gobierno,nan,nan,nan,nan,nan,nan,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,nan,95
20301,Microempresarios,Tungurahua,Femenino,"Agricultura, ganaderia y pesca.",Si,No,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,32.0,80
20302,Artesanos,El Oro,Masculino,"Agricultura, ganaderia y pesca.",Si,Si,Si,No,No,Si,Si,Si,Si,Si,Si,No,No,Si,Si,Si,Si,Si,52.0,95
20303,Microempresarios,Tungurahua,Masculino,Industrias manufactureras.,Si,No,No,Si,Si,Si,Si,No,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,40.0,136
20304,Ciudadano,Cotopaxi,Femenino,Otras actividades de servicios.,Si,No,No,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,No,Si,Si,Si,34.0,93
20305,Microempresarios,Cotopaxi,Masculino,nan,Si,No,No,No,No,No,No,Si,Si,No,Si,Si,Si,Si,Si,No,No,Si,40.0,118
20306,Microempresarios,Pichincha,Femenino,Otras actividades de servicios.,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,40.0,56
20307,Microempresarios,Chimborazo,Femenino,Otras actividades de servicios.,Si,Si,No,Si,Si,No,Si,Si,No,Si,Si,Si,Si,Si,No,Si,Si,Si,30.0,138
20308,Microempresarios,Guayas,Masculino,Otras actividades de servicios.,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,22.0,56
20309,Microempresarios,Tungurahua,Masculino,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,33.0,52
20311,Microempresarios,Guayas,Masculino,Otras actividades de servicios.,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,22.0,47
20312,Microempresarios,Tungurahua,Masculino,nan,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,27.0,55
20314,Microempresarios,Tungurahua,Masculino,nan,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,23.0,64
20315,Microempresarios,Guayas,Masculino,Actividades de alojamiento y de servicio de comida.,Si,Si,No,Si,No,No,No,No,Si,No,Si,No,No,No,No,Si,No,Si,24.0,98
20316,Ciudadano,Cotopaxi,Femenino,"Agricultura, ganaderia y pesca.",No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,46.0,67
20317,Microempresarios,Tungurahua,Femenino,nan,No,No,No,No,No,No,No,No,No,Si,No,Si,No,No,No,No,Si,No,35.0,52
20318,Microempresarios,Tungurahua,Masculino,nan,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,27.0,51
20319,Pyme,Tungurahua,Femenino,Informacion y comunicacion.,Si,No,No,Si,Si,Si,Si,No,Si,Si,Si,No,Si,No,No,Si,Si,Si,28.0,93
20320,Ciudadano,Cotopaxi,Masculino,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,Si,21.0,56
20321,Microempresarios,Guayas,Masculino,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.0,45
20322,Artesanos,Pichincha,Femenino,"Artes, entretenimiento y recreacion.",Si,No,No,No,No,No,No,Si,Si,Si,No,No,Si,Si,Si,No,No,Si,32.0,69
